player name,buy price,list price,sell price
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
guaita,800,1140.0,
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
2022-02-22,,,
Guaita,,,1140.0
guaita,800,1140.0,
dzeko,1000,1235.0,
dzeko,1000,1235.0,
dzeko,1000,1235.0,
dzeko,1000,1235.0,
dzeko,1000,1235.0,
2022-02-22,,,
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
Guaita,,,1140.0
Guaita,,,1140.0
Džeko,,,1235.0
Džeko,,,1235.0
Džeko,,,1235.0
Džeko,,,1235.0
Džeko,,,1235.0
Džeko,,,1235.0
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
dzeko,1000,1235.0,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
Džeko,,,1235.0
Džeko,,,1235.0
Džeko,,,1235.0
Džeko,,,1235.0
2022-02-22,,,
2022-02-22,,,
Džeko,,,1235.0
2022-02-22,,,
Džeko,,,1235.0
Džeko,,,1235.0
Džeko,,,1235.0
Džeko,,,1235.0
Džeko,,,1235.0
2022-02-22,,,
2022-02-22,,,
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
Guaita,,,1140.0
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-22,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-22,,,
2022-02-22,,,
2022-02-22,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-22,,,
gabriel jesus,1300,1520.0,
2022-02-22,,,
2022-02-22,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-22,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
2022-02-22,,,
gabriel jesus,1300,1520.0,
2022-02-22,,,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
2022-02-23,,,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
gabriel jesus,1300,1520.0,
2022-02-23,,,
2022-02-23,,,
2022-02-23,,,
gabriel jesus,1300,1520.0,
2022-02-23,,,
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
Gabriel Jesus,,,1520.0
